"type","w1_str","w2_str","bi.freq","w1.freq","w2.freq"
"by_chronic","by","chronic",22,511973,1681
"half_performance","half","performance",11,29332,12843
"were_sexually","were","sexually",21,307547,989
"of_professional","of","professional",875,3041281,10842
"a_badge","a","badge",85,2169721,542
"girl_this","girl","this",12,13415,452531
"my_fitness","my","fitness",21,145643,1542
"place_long","place","long",18,47738,55459
"constitutes_good","constitutes","good",21,1006,77084
"as_population","as","population",28,653528,12939
"remain_aloof","remain","aloof",16,8883,225
"strong_protests","strong","protests",11,15681,1215
"male_sexual","male","sexual",35,7595,6760
"kept_putting","kept","putting",24,13568,7362
"discharge_and","discharge","and",74,1517,2614893
"smeared_with","smeared","with",47,185,658333
"secures_the","secures","the",21,89,6036130
"the_languages","the","languages",150,6036130,3290
"his_experiments","his","experiments",54,409172,2949
"or_investments","or","investments",12,368104,1504
"not_fare","not","fare",19,448154,972
"he_sure","he","sure",19,588865,23038
"alternations_of","alternations","of",11,29,3041281
"skin_surface","skin","surface",20,6642,8873
"banks_building","banks","building",44,6587,18481
"exceeded_only","exceeded","only",18,894,148191
"action_into","action","into",16,21403,157599
"lake_como","lake","como",37,3811,68
"within_itself","within","itself",59,45536,23189
"credit_should","credit","should",18,7228,104688
"phased_out","phased","out",142,348,196367
"writing_under","writing","under",11,11312,60556
"withdraw_from","withdraw","from",334,1519,423379
"we_rounded","we","rounded",15,299533,1256
"yards_but","yards","but",27,3477,443525
"a_closely","a","closely",94,2169721,5433
"toy_in","toy","in",11,932,1937245
"the_angus","the","angus",21,6036130,559
"most_stable","most","stable",55,97960,3364
"service_often","service","often",12,30014,37088
"storm_clouds","storm","clouds",32,2227,1537
"and_erosion","and","erosion",55,2614893,1211
"same_proportion","same","proportion",60,60944,6543
"be_destructive","be","destructive",29,649613,776
"were_resting","were","resting",21,307547,1161
"so_ordinary","so","ordinary",30,236139,6755
"testament_is","testament","is",43,1193,970830
"whatever_for","whatever","for",38,12519,877618
"and_expressions","and","expressions",44,2614893,1281
"glass_transition","glass","transition",54,9258,2325
"they_lied","they","lied",16,374148,552
"short-term_and","short-term","and",59,1743,2614893
"sophisticated_equipment","sophisticated","equipment",23,2417,8678
"y_it's","y","it's",14,4271,126327
"presentations_to","presentations","to",46,599,2593392
"of_sotheby's","of","sotheby's",46,3041281,698
"by_electricity","by","electricity",27,511973,3732
"their_ancestral","their","ancestral",19,254217,279
"were_canvassed","were","canvassed",11,307547,148
"checked_before","checked","before",15,2454,84765
"going_fast","going","fast",30,63243,7287
"of_halifax","of","halifax",34,3041281,656
"ibm's_personal","ibm's","personal",11,686,17184
"depth_charges","depth","charges",15,2992,6136
"enabled_me","enabled","me",62,1803,129661
"quite_quiet","quite","quiet",12,39307,5934
"million_an","million","an",40,24364,336611
"at_newbury","at","newbury",120,521986,334
"or_i'm","or","i'm",70,368104,62149
"potential_problem","potential","problem",53,11069,28270
"the_jargon","the","jargon",101,6036130,503
"with_daffodils","with","daffodils",11,658333,213
"finally_completed","finally","completed",12,12512,5920
"elaboration_of","elaboration","of",144,288,3041281
"cases_decided","cases","decided",25,18075,14580
"disguised_in","disguised","in",26,477,1937245
"whipped_round","whipped","round",16,449,30672
"exit_at","exit","at",24,1215,521986
"only_trying","only","trying",79,148191,17760
"information_relates","information","relates",17,37932,1445
"the_clubface","the","clubface",27,6036130,32
"he_start","he","start",16,588865,23079
"mainstream_psychology","mainstream","psychology",12,1239,2210
"pleasure_just","pleasure","just",12,4944,125369
"violent_to","violent","to",11,2705,2593392
"or_second","or","second",113,368104,40543
"much_exaggerated","much","exaggerated",17,89395,897
"prayer_book","prayer","book",107,1968,23959
"construction_ltd","construction","ltd",14,6211,6162
"bereaved_and","bereaved","and",18,277,2614893
"you_dad","you","dad",40,579748,5260
"story_went","story","went",17,13083,45650
"they_purchased","they","purchased",11,374148,1677
"brian_johnston","brian","johnston",14,4098,574
"think_it's","think","it's",3926,88123,126327
"did_later","did","later",23,90267,38208
"a_staccato","a","staccato",14,2169721,108
"accounts_at","accounts","at",54,7051,521986
"houses_just","houses","just",11,9763,125369
"enough_because","enough","because",45,30865,100244
"or_cross","or","cross",22,368104,7322
"stuff_into","stuff","into",25,6723,157599
"already_weak","already","weak",11,33182,3462
"state_during","state","during",25,37791,43451
"rushing_across","rushing","across",11,825,23960
"international_economics","international","economics",27,21433,2455
"at_potential","at","potential",14,521986,11069
"sentence_than","sentence","than",13,5655,144557
"chronic_hepatitis","chronic","hepatitis",73,1681,671
"disposal_as","disposal","as",12,2108,653528
"happening_which","happening","which",16,4351,364831
"through_sheer","through","sheer",31,81023,2020
"a_sandpit","a","sandpit",13,2169721,36
"golf_balls","golf","balls",25,3257,1476
"france_germany","france","germany",190,11417,9291
"totally_lost","totally","lost",32,5641,18695
"time_capsule","time","capsule",21,151986,211
"handled_as","handled","as",22,1565,653528
"economic_indicators","economic","indicators",48,23000,975
"emerged_which","emerged","which",20,3629,364831
"factors_could","factors","could",27,8603,143186
"team_goes","team","goes",11,18207,14549
"events_involving","events","involving",16,10210,4228
"the_judicature","the","judicature",36,6036130,49
"hall_his","hall","his",12,11481,409172
"programme_aimed","programme","aimed",51,18165,3529
"step_inside","step","inside",32,8426,13489
"damage_that","damage","that",137,8255,1048180
"mr_brown","mr","brown",249,58363,8064
"street_collections","street","collections",17,18618,1774
"of_dressing","of","dressing",46,3041281,1643
"accidents_do","accidents","do",11,1934,175340
"be_needed","be","needed",925,649613,15891
"irish_constitution","irish","constitution",26,5805,3822
"contest_the","contest","the",175,1678,6036130
"for_euro","for","euro",11,877618,596
"hair_then","hair","then",41,13329,153059
"there's_seven","there's","seven",16,32156,16218
"david's_head","david's","head",12,530,35586
"a_reflective","a","reflective",38,2169721,321
"become_contaminated","become","contaminated",13,29712,637
"acute_psychiatric","acute","psychiatric",12,2273,1076
"still_hadn't","still","hadn't",78,71594,8046
"of_turin","of","turin",15,3041281,148
"lips_parted","lips","parted",76,4627,802
"whole_and","whole","and",441,29935,2614893
"any_groups","any","groups",13,121356,19120
"ideas_as","ideas","as",143,10729,653528
"out_down","out","down",26,196367,91262
"soothing_and","soothing","and",28,393,2614893
"that_victims","that","victims",20,1048180,2763
"whom_there","whom","there",105,12530,283568
"group_that","group","that",335,39624,1048180
"your_best","your","best",390,133494,34784
"shall_confine","shall","confine",18,19443,313
"enquired_and","enquired","and",21,726,2614893
"course_must","course","must",31,47936,68791
"a_no-arbitrage","a","no-arbitrage",12,2169721,157
"in_designer","in","designer",22,1937245,1808
"with_demands","with","demands",45,658333,5659
"or_component","or","component",11,368104,2613
"also_encourage","also","encourage",54,123293,5067
"your_new","your","new",461,133494,123449
"hand_painted","hand","painted",17,33336,2962
"her_rose","her","rose",14,302784,10258
"straight_forward","straight","forward",67,9530,14613
"pressed_at","pressed","at",11,2933,521986
"the_pupil","the","pupil",444,6036130,2115
"rate_you","rate","you",40,18909,579748
"the_grieving","the","grieving",31,6036130,258
"letters_is","letters","is",31,7474,970830
"increasingly_unlikely","increasingly","unlikely",14,6561,5517
"only_fifty","only","fifty",45,148191,8219
"skill_will","skill","will",19,3442,250441
"that_man","that","man",683,1048180,54479
"twenty_feet","twenty","feet",116,14658,13239
"subsequent_study","subsequent","study",11,4364,21753
"do_you've","do","you've",19,175340,21665
"ie_they","ie","they",25,1791,374148
"always_stayed","always","stayed",21,44189,4121
"sales_person","sales","person",27,10294,23182
"see_joe","see","joe",13,113356,3557
"telescope_and","telescope","and",42,454,2614893
"shop_around","shop","around",106,10201,43269
"confine_their","confine","their",16,313,254217
"properties_in","properties","in",201,4063,1937245
"life_we","life","we",115,54177,299533
"stockton_was","stockton","was",14,913,860745
"not_life","not","life",21,448154,54177
"ends_NUM","ends","NUM",14,4151,1265511
"possessed_it","possessed","it",12,1640,918894
"for_oxford","for","oxford",183,877618,8143
"call_themselves","call","themselves",108,18632,22993
"for_hostages","for","hostages",17,877618,646
"the_debating","the","debating",19,6036130,400
"sigmund_freud","sigmund","freud",40,62,1166
"my_world","my","world",68,145643,53612
"of_diffusion","of","diffusion",26,3041281,325
"of_chlorofluorocarbons","of","chlorofluorocarbons",33,3041281,92
"rattled_and","rattled","and",27,377,2614893
"a_stat","a","stat",15,2169721,60
"to_buck","to","buck",42,2593392,471
"little_open","little","open",11,62274,29326
"between_peoples","between","peoples",15,90462,1376
"looked_faintly","looked","faintly",13,32165,707
"act_they","act","they",51,27083,374148
"was_prime","was","prime",41,860745,12060
"ontological_claims","ontological","claims",12,279,8863
"writhing_and","writhing","and",16,158,2614893
"allow_all","allow","all",45,11250,275882
"administration_since","administration","since",13,6355,48884
"sensible_thing","sensible","thing",84,2645,33484
"e-mail_and","e-mail","and",14,182,2614893
"divide_our","divide","our",12,1738,93040
"types_available","types","available",20,8791,26949
"wages_than","wages","than",20,3640,144557
"though_cos","though","cos",63,43876,16111
"binds_to","binds","to",72,283,2593392
"classroom_to","classroom","to",32,2227,2593392
"lean_spell","lean","spell",13,1191,2246
"married_mothers","married","mothers",22,9719,3078
"from_drying","from","drying",30,423379,766
"meant_for","meant","for",185,10781,877618
"this_notation","this","notation",12,452531,507
"poem_he","poem","he",33,2345,588865
"suggestion_made","suggestion","made",34,3040,91349
"a_mating","a","mating",17,2169721,441
"of_readiness","of","readiness",35,3041281,589
"military_coups","military","coups",20,11213,93
"over_eastern","over","eastern",22,122926,5817
"came_unstuck","came","unstuck",16,44644,99
"country's_foreign","country's","foreign",20,3497,15731
"now_definitely","now","definitely",12,137275,2831
"caught_like","caught","like",15,8188,146876
"two_forces","two","forces",31,150771,11569
"were_cases","were","cases",27,307547,18075
"sparcstations_and","sparcstations","and",19,95,2614893
"inches_below","inches","below",18,2266,14005
"her_busy","her","busy",15,302784,4823
"speaker_so","speaker","so",11,3669,236139
"inherited_prion","inherited","prion",15,1507,40
"ready_just","ready","just",18,9816,125369
"a_fossil","a","fossil",48,2169721,889
"aid_from","aid","from",150,8753,423379
"road_junctions","road","junctions",19,26407,607
"edges_that","edges","that",16,1690,1048180
"straight_i","straight","i",17,9530,720226
"for_scoring","for","scoring",17,877618,1455
"experiences_during","experiences","during",27,3471,43451
"supreme_effort","supreme","effort",29,3299,7539
"people_talking","people","talking",85,115716,12806
"erm_used","erm","used",22,59312,65856
"thin_film","thin","film",45,4946,9846
"him_jump","him","jump",17,153095,2409
"other_district","other","district",16,152211,7756
"been_home","been","home",85,259718,50160
"same_so","same","so",43,60944,236139
"wales_in","wales","in",263,8938,1937245
"its_social","its","social",190,160263,41460
"had_mr","had","mr",29,412099,58363
"alex_dyer","alex","dyer",13,1703,170
"five_eighty","five","eighty",77,38861,3694
"started_from","started","from",129,16673,423379
"landau_levels","landau","levels",13,75,12035
"type_she","type","she",13,15310,321346
"persuaded_them","persuaded","them",46,2029,166575
"as_partly","as","partly",15,653528,5563
"these_tensions","these","tensions",32,123180,960
"social_group","social","group",176,41460,39624
"distinction_and","distinction","and",67,4082,2614893
"how_public","how","public",24,96755,38169
"wojciech_jaruzelski","wojciech","jaruzelski",20,27,46
"force_one","force","one",27,15379,287758
"are_linked","are","linked",280,456718,4330
"god_hath","god","hath",16,18656,277
"discs_are","discs","are",50,732,456718
"his_ribs","his","ribs",79,409172,650
"richard_morris","richard","morris",12,8789,1656
"tree_roots","tree","roots",34,6037,2474
"a_clerical","a","clerical",58,2169721,908
"attested_by","attested","by",36,163,511973
"while_research","while","research",13,54704,26259
"stood_side","stood","side",19,12143,31947
"in_qualitative","in","qualitative",15,1937245,591
"most_teams","most","teams",13,97960,3905
"careful_drafting","careful","drafting",12,4949,608
"time_quite","time","quite",21,151986,39307
"theoretical_study","theoretical","study",13,2959,21753
"protection_insurance","protection","insurance",14,7893,6878
"go_if","go","if",163,85944,253058
"protected_if","protected","if",20,2558,253058
"antecedents_and","antecedents","and",20,155,2614893
"ordered_more","ordered","more",13,4986,208888
"big_industrial","big","industrial",18,24563,11359
"concealed_logical","concealed","logical",16,888,2263
"women_tend","women","tend",58,32880,6147
"bush_which","bush","which",13,3349,364831
"indicated_with","indicated","with",29,4351,658333
"address_from","address","from",36,6745,423379
"a_fire","a","fire",1192,2169721,13311
"may_then","may","then",371,127119,153059
"leighton_buzzard","leighton","buzzard",27,165,151
"this_hat","this","hat",13,452531,2859
"account_not","account","not",30,16096,448154
"and_abuses","and","abuses",16,2614893,459
"venom_of","venom","of",15,248,3041281
"being_further","being","further",24,87540,35587
"each_wing","each","wing",20,60299,2851
"should_drive","should","drive",18,104688,8747
"boys_aged","boys","aged",42,7267,4637
"finding_this","finding","this",43,6428,452531
"as_february","as","february",15,653528,8235
"visiting_her","visiting","her",52,2907,302784
"they_bend","they","bend",11,374148,1285
"working_man's","working","man's",21,28571,3976
"completely_safe","completely","safe",24,8285,6588
"these_segments","these","segments",15,123180,789
"appendix_for","appendix","for",15,1686,877618
"look_older","look","older",19,50938,8701
"NUM_flown","NUM","flown",19,1265511,1064
"are_proud","are","proud",108,456718,3031
"criterion_statements","criterion","statements",11,1282,4086
"at_taunton","at","taunton",39,521986,279
"in_sheep","in","sheep",69,1937245,2868
"activity_itself","activity","itself",16,11361,23189
"pink_is","pink","is",26,3106,970830
"africa's_most","africa's","most",11,468,97960
"deterrent_to","deterrent","to",99,606,2593392
"showed_where","showed","where",26,10393,102130
"injure_themselves","injure","themselves",15,200,22993
"then_effectively","then","effectively",11,153059,5009
"pull_me","pull","me",32,4283,129661
"he'll_end","he'll","end",11,3967,48293
"ballesteros_who","ballesteros","who",16,197,191162
"what_doesn't","what","doesn't",24,216517,17114
"of_bougainville","of","bougainville",19,3041281,87
"the_registry","the","registry",119,6036130,524
"and_participation","and","participation",114,2614893,2657
"and_for","and","for",10165,2614893,877618
"information_content","information","content",61,37932,5965
"the_backcloth","the","backcloth",21,6036130,71
"are_constructed","are","constructed",129,456718,2508
"loop_was","loop","was",11,978,860745
"of_ben","of","ben",105,3041281,2487
"industrial_regeneration","industrial","regeneration",12,11359,616
"should_exceed","should","exceed",12,104688,1067
"author's_work","author's","work",12,515,88987
"snapped_up","snapped","up",181,1681,206222
"a_brightly","a","brightly",48,2169721,722
"lose_most","lose","most",15,6280,97960
"his_co-star","his","co-star",16,409172,89
"the_werner","the","werner",13,6036130,224
"to_scale","to","scale",173,2593392,7528
"freedom_would","freedom","would",22,5880,228948
"commercial_traveller","commercial","traveller",24,8005,744
"right_moment","right","moment",136,79132,20376
"east_caribbean","east","caribbean",17,17156,1094
"first_category","first","category",82,120285,3293
"high-heeled_shoes","high-heeled","shoes",46,91,3441
"really_ill","really","ill",41,44441,4733
"originally_brought","originally","brought",11,4429,19593
"compromise_solution","compromise","solution",39,2055,6758
"cases_may","cases","may",60,18075,127119
"grains_which","grains","which",16,535,364831
"most_formidable","most","formidable",49,97960,1050
"more_stark","more","stark",16,208888,792
"her_flesh","her","flesh",134,302784,2344
"representations_to","representations","to",112,1387,2593392
"nationalized_industries","nationalized","industries",191,327,4276
"new_unionism","new","unionism",17,123449,390
"the_flyover","the","flyover",15,6036130,41
"of_salaries","of","salaries",33,3041281,923
"social_solidarity","social","solidarity",36,41460,1069
"anne_de","anne","de",12,3299,13281
"that_aspect","that","aspect",98,1048180,4290
"the_changing-room","the","changing-room",14,6036130,23
"spotted_at","spotted","at",16,1565,521986
"overseas_investment","overseas","investment",44,3755,10766
"sarajevo_on","sarajevo","on",14,441,727437
"coach_will","coach","will",33,3369,250441
"historicity_of","historicity","of",16,53,3041281
"NUM_visiting","NUM","visiting",26,1265511,2907
"came_there","came","there",38,44644,283568
"life_office","life","office",14,54177,24537
"schools_was","schools","was",114,15140,860745
"fully_studied","fully","studied",11,8768,3880
"door_marked","door","marked",23,23008,5640
"might_might","might","might",43,59001,59001
"their_works","their","works",97,254217,14029
"but_jessamy","but","jessamy",13,443525,362
"the_wayward","the","wayward",27,6036130,231
"said_managing","said","managing",13,193749,3352
"for_adam","for","adam",39,877618,2678
"though_they're","though","they're",59,43876,24657
"payment_date","payment","date",34,5365,16994
"the_vigour","the","vigour",71,6036130,530
"galway_city","galway","city",13,318,21427
"left_mrs","left","mrs",11,44851,20175
"new_mum","new","mum",24,123449,6502
"mothers_or","mothers","or",24,3078,368104
"stuff_here","stuff","here",25,6723,64834
"was_overtaken","was","overtaken",34,860745,324
"its_cold","its","cold",27,160263,11504
"palestinian_was","palestinian","was",13,1123,860745
"and_widths","and","widths",11,2614893,157
"the_baronial","the","baronial",19,6036130,93
"data_type","data","type",15,17741,15310
"practice_it","practice","it",299,16891,918894
"admixture_of","admixture","of",16,24,3041281
"swimmer_and","swimmer","and",11,160,2614893
"west_berlin's","west","berlin's",11,20843,107
"the_redesign","the","redesign",16,6036130,127
"the_temples","the","temples",130,6036130,594
"planted_some","planted","some",13,1410,166759
"housing_than","housing","than",14,9316,144557
"hours_over","hours","over",28,17946,122926
"were_approved","were","approved",128,307547,4840
"build_that","build","that",27,7119,1048180
"k_is","k","is",154,5443,970830
"secure_its","secure","its",35,4525,160263
"greetings_card","greetings","card",15,299,5561
"diversion_and","diversion","and",27,535,2614893
"into_stars","into","stars",17,157599,3859
"NUM_xi","NUM","xi",56,1265511,380
"his_m","his","m",12,409172,16999
"rocky_shores","rocky","shores",11,950,533
"was_designated","was","designated",76,860745,1368
"high_real","high","real",19,38053,22552
"local_scale","local","scale",30,45842,7528
"spoon_to","spoon","to",19,786,2593392
"determined_through","determined","through",12,7539,81023
"questions_so","questions","so",40,13820,236139
"other_attacks","other","attacks",16,152211,3313
"campaign_could","campaign","could",14,9312,143186
"new_plant","new","plant",117,123449,7940
"court_later","court","later",15,27747,38208
"her_giving","her","giving",23,302784,12353
"latest_official","latest","official",14,6452,9543
"of_four","of","four",2374,3041281,44195
"the_household's","the","household's",21,6036130,43
"they_send","they","send",137,374148,7787
"procedures_laid","procedures","laid",15,5211,5761
"quite_commonly","quite","commonly",22,39307,2532
"somewhat_by","somewhat","by",27,4528,511973
"and_nicholas","and","nicholas",84,2614893,2151
"fallacy_in","fallacy","in",11,195,1937245
"aircraft_or","aircraft","or",42,6057,368104
"bring_any","bring","any",65,14970,121356
"independent_source","independent","source",24,10709,8952
"erm_went","erm","went",21,59312,45650
"the_brit","the","brit",15,6036130,139
"extremely_vague","extremely","vague",11,6675,1441
"advise_the","advise","the",254,2016,6036130
"twenty_p","twenty","p",54,14658,30891
"obviously_he","obviously","he",82,10568,588865
"associating_with","associating","with",34,115,658333
"nine_she","nine","she",18,12558,321346
"do_since","do","since",19,175340,48884
"on_urgent","on","urgent",14,727437,2057
"appropriate_range","appropriate","range",13,11398,20253
"her_are","her","are",42,302784,456718
"extreme_difficulty","extreme","difficulty",18,3613,6210
"she'd_caught","she'd","caught",17,8588,8188
"offering_help","offering","help",20,4965,36617
"different_interpretations","different","interpretations",75,47412,1038
"christ_said","christ","said",35,3756,193749
"brochure_which","brochure","which",26,930,364831
"period_during","period","during",162,24028,43451
"a_specialty","a","specialty",15,2169721,138
"be_confidently","be","confidently",19,649613,522
"perpetuated_the","perpetuated","the",13,117,6036130
"tony_wilson","tony","wilson",12,4494,3527
"what_once","what","once",23,216517,36827
"with_all","with","all",4823,658333,275882
"conference_organization","conference","organization",24,9855,6012
"t-shirt_to","t-shirt","to",14,639,2593392
"belgian_troops","belgian","troops",12,773,4690
"everett_and","everett","and",13,191,2614893
"receive_her","receive","her",33,7419,302784
"faecal_egg","faecal","egg",16,452,2383
"whole_life","whole","life",260,29935,54177
"replied_then","replied","then",28,4992,153059
"falcons_and","falcons","and",11,125,2614893
"study_she","study","she",12,21753,321346
"nucleus_of","nucleus","of",217,656,3041281
"an_area","an","area",2321,336611,33100
"a_disorder","a","disorder",33,2169721,1611
"our_bags","our","bags",35,93040,2107
"fundamentally_from","fundamentally","from",18,856,423379
"green_line","green","line",40,13900,23497
"a_vengeance","a","vengeance",138,2169721,371
"croats_to","croats","to",15,282,2593392
"layer_at","layer","at",13,2393,521986
"mood_about","mood","about",11,3128,191133
"exclusivity_of","exclusivity","of",21,116,3041281
"what's_new","what's","new",110,14733,123449
"than_themselves","than","themselves",66,144557,22993
"i'm_phoning","i'm","phoning",14,62149,314
"the_elector","the","elector",77,6036130,160
"ratio_at","ratio","at",19,2835,521986
"might_soon","might","soon",60,59001,19588
"they_converted","they","converted",15,374148,2282
"in_selective","in","selective",11,1937245,1292
"every_match","every","match",36,38911,9330
"upgrade_its","upgrade","its",20,681,160263
"forty-five_years","forty-five","years",40,390,86974
"british_institute","british","institute",55,35364,4959
"quadratic_equation","quadratic","equation",11,82,2451
"would_for","would","for",113,228948,877618
"is_curiously","is","curiously",27,970830,885
"points_including","points","including",18,14216,23926
"that_pope","that","pope",15,1048180,1920
"lovely_eyes","lovely","eyes",11,5577,27269
"boating_lake","boating","lake",14,140,3811
"year's_end","year's","end",21,4569,48293
"medieval_english","medieval","english",20,2468,22773
"from_maidstone","from","maidstone",12,423379,346
"when_younger","when","younger",13,208943,5221
"then_south","then","south",22,153059,22671
"local_restaurants","local","restaurants",19,45842,1512
"disposed_towards","disposed","towards",32,739,27224
"some_limitations","some","limitations",18,166759,1768
"new_help","new","help",12,123449,36617
"experts_was","experts","was",13,3126,860745
"and_hairy","and","hairy",20,2614893,380
"of_machine","of","machine",143,3041281,8573
"and_bloodshed","and","bloodshed",25,2614893,153
"of_autonomic","of","autonomic",24,3041281,160
"two_completely","two","completely",30,150771,8285
"with_slices","with","slices",21,658333,590
"which_force","which","force",12,364831,15379
"such_developments","such","developments",124,106950,4971
"come_till","come","till",11,65107,5295
"but_somehow","but","somehow",353,443525,4203
"joanne_and","joanne","and",31,447,2614893
"NUM_poland","NUM","poland",25,1265511,1813
"safety_programme","safety","programme",11,8385,18165
"unitary_authorities","unitary","authorities",57,415,12678
"little_slow","little","slow",12,62274,5689
"we_stepped","we","stepped",32,299533,2732
"as_washington","as","washington",13,653528,3040
"then_stay","then","stay",15,153059,11816
"conveniently_to","conveniently","to",12,621,2593392
"draft_order","draft","order",13,2963,33743
"such_variation","such","variation",14,106950,2670
"after_age","after","age",18,113561,21315
"storm_broke","storm","broke",28,2227,5101
"office_being","office","being",13,24537,87540
